科目代码,科目名称,本月发生额,本年累计
201,一般公共服务支出,44194491.67,262391388.6
2010505,专项统计业务,0,19500
2010908,信息化建设,828300,828300
2011006,军队转业干部安置,43366191.67,261543588.6
203,国防支出,13513000,28503000
2030601,兵役征集,1500000,1500000
2030607,民兵,1213000,273000
204,公共安全支出,3288409,147876172
2040101,内卫,3603000,8453000
2040102,边防,20615889,61748871
2040103,消防,108000,16324181
2040301,行政运行,7761520,4875120
2040302,一般行政管理事务,0,5877000
2040304,安全业务,0,7398000
205,教育支出,43491500,127771500
2050202,小学教育,220400,75180400
2050203,初中教育,7628400,38728400
2050701,特殊学校教育,4960000,4960000
2050904,城市中小学教学设施,8902700,8902700
206,科学技术支出,15240000,88725900
2060402,应用技术研究与开发,15240000,86465900
2060403,产业技术研究与开发,0,2260000
207,文化体育与传媒支出,2040000,6137700
2070106,艺术表演场所,15660000,29157700
2070205,博物馆,2380000,2380000
2070305,体育竞赛,20000,20000
2070408,出版发行,0,27500000
208,社会保障和就业支出,2459307000,7625490000
2080501,归口管理的行政单位离退休,750000,6188000
2080505,机关事业单位基本养老保险缴费支出,997000,6962000
2080507,对机关事业单位基本养老保险基金的补助,816840000,839950000
2082601,财政对企业职工基本养老保险基金的补助,1640720000,5650580000
2082602,财政对城乡居民基本养老保险基金的补助,0,1120430000
2082702,财政对工伤保险基金的补助,0,1380000
210,医疗卫生与计划生育支出,753000,263420000
2101101,行政单位医疗,740000,5180000
2101102,事业单位医疗,13000,78000
2101204,财政对城镇居民基本医疗保险基金的补助,0,220280000
2101302,疾病应急补助,0,2550000
2109901,其他医疗卫生与计划生育支出,0,35332000
212,城乡社区支出,236751301.5,4408206839
2120399,其他城乡社区公共设施支出,97528583,1885203160
2120801,征地和拆迁补偿支出,327869000,832869000
2120802,土地开发支出,0,1844970.29
2120803,城市建设支出,0,1011800
2120804,农村基础设施建设支出,0,14575700
2120999,其他城市公用事业附加支出,0,7420000
2121301,城市公共设施,348718.5,58487209
2129999,其他城乡社区支出,730805000,1506805000
213,农林水支出,113173290,694357310
2130121,农业结构调整补贴,21530000,21530000
2130122,农业生产支持补贴,900000,385963000
2130199,其他农业支出,0,33506000
2130209,森林生态效益补偿,62400,248400
2130234,林业防灾减灾,200000,1665700
2130305,水利工程建设,544890,50544890
2130306,水利工程运行与维护,16000,16000
2130311,水资源节约管理与保护,320000,320000
2130312,水质监测,0,58520
2130314,防汛,500000,500000
2130315,抗旱,0,2000000
2130803,农业保险保费补贴,0,4800
214,交通运输支出,237534000,838674549.4
2140112,公路运输管理,0,4318000
2140199,其他公路水路运输支出,1340000,1340000
2140304,机场建设,0,170000
2140307,民用航空安全,7700000,14700000
2140399,其他民用航空运输支出,112740000,125480000
2140499,成品油价格改革补贴其他支出,0,85000
2140504,行业监管,0,3847549.43
2140505,邮政普遍服务与特殊服务,1604000,2494000
2140601,车辆购置税用于公路等基础设施建设支出,0,400000
2146901,民航机场建设,0,48550000
2146904,航线和机场补贴,0,4270000
2149901,公共交通运营补助,114150000,576590000
215,资源勘探信息等支出,0,62760672
2150208,交通运输设备制造业,0,24390000
2150299,其他制造业支出,0,500000
2150508,无线电监管,0,140000
2150699,其他安全生产监管支出,0,2630000
2150899,其他支持中小企业发展和管理支出,0,2130000
2159999,其他资源勘探信息等支出,0,19110672
216,商业服务业等支出,0,16182417
2160219,民贸民品贷款贴息,0,10238317
2160299,其他商业流通事务支出,0,3318300
2160699,其他涉外发展服务支出,0,25800
2169999,其他商业服务业等支出,0,2600000
221,住房保障支出,773000,5398000
2210201,住房公积金,773000,5398000
222,粮油物资储备支出,600000,600000
2220112,粮食财务挂账利息补贴,600000,600000
229,其他支出,3213249899,13352565456
2299901,其他支出,3213249899,13352565456
231,债务还本支出,11875450,45785447
2310399,地方政府其他一般债务还本支出,11875450,45785447
232,债务付息支出,182630429,412379486.7
2320301,地方政府一般债券付息支出,6679020,20107424.5
2320304,地方政府其他一般债务付息支出,159815609,336613212.2
2320411,国有土地使用权出让金债务付息支出,16135800,31920800
2320416,城市基础设施配套费债务付息支出,0,23738050
233,债务发行费用支出,11712023.11,11720210.64
23303,地方政府一般债务发行费用支出,55463.24,510343.04
2330416,城市基础设施配套费债务发行费用支出,6706559.87,6709867.6
270,往来性支出,2715722538,1073573275
27003,与下级财政往来性支出,2223130000,993710000
27004,与上级财政往来性支出,0,100000
27005,与财政专户往来支出,492592538,619176599.5
27006,与预算单位往来支出,0,22186675.64
,共用,10603300711,37621346800
,预算内基金,353760078.4,1131387397
,一般预算内,12213000,28668700
,预算内债务,183375542.2,407516426.8
,合计数,11152649331,39188919324
